X,Y,Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr
-478459.85339999944,-1154905.8564000018,100,"Vsetínská 71, Karolinka 75605",65469992,,Lékárna,Vsetínská 71,75605,Karolinka,Vsetín,Zlínský kraj,2007,"Vsetínská 71, Karolinka 75605"
-484664.7648999989,-1141984.1898000017,100,"1. máje 1425, Rožnov pod Radhoštěm 75661",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Lékárna ROSAVA",1. máje 1425,75661,Rožnov pod Radhoštěm,Vsetín,Zlínský kraj,2007,"1. máje 1425, Rožnov pod Radhoštěm 75661"
-484307.23490000144,-1142593.4685,100,"Bayerova 51, Rožnov pod Radhoštěm 75661",62314106,,Lékárna,Bayerova 51,75661,Rožnov pod Radhoštěm,Vsetín,Zlínský kraj,2007,"Bayerova 51, Rožnov pod Radhoštěm 75661"
-484137.08040000126,-1141888.5168000013,100,"Letenská 1183, Rožnov pod Radhoštěm 75661",64123073,,Lékárna RUBUS,Letenská 1183,75661,Rožnov pod Radhoštěm,Vsetín,Zlínský kraj,2007,"Letenská 1183, Rožnov pod Radhoštěm 75661"
-484199.75039999932,-1142515.2456,100,"Náměstí Míru 1006, Rožnov pod Radhoštěm 75661",25373269,,Lékárna U Matky Boží,náměstí Míru 1006,75661,Rožnov pod Radhoštěm,Vsetín,Zlínský kraj,2007,"náměstí Míru 1006, Rožnov pod Radhoštěm 75661"
-496480.08089999855,-1139796.6799000017,100,"Mostní 102, Valašské Meziříčí 75701",27197123,,"TL - Pharma s.r.o., Lékárna u Fortelků",Mostní 102,75701,Valašské Meziříčí,Vsetín,Zlínský kraj,2007,"Mostní 102, Valašské Meziříčí 75701"
-496521.03079999983,-1139750.5144000016,100,"Mostní 530, Valašské Meziříčí 75701",60042435,,Lékárna Na nábřeží,Mostní 530,75701,Valašské Meziříčí,Vsetín,Zlínský kraj,2007,"Mostní 530, Valašské Meziříčí 75701"
-496621.78429999948,-1140075.059,100,"Nová 176, Valašské Meziříčí 75701",47822937,,Lékárna SANO,Nová 176,75701,Valašské Meziříčí,Vsetín,Zlínský kraj,2007,"Nová 176, Valašské Meziříčí 75701"
-496707.8834999986,-1139552.9367000014,100,"Seifertova 91, Valašské Meziříčí 75701",60301783,,Lékárna Na Krásně,Seifertova 91,75701,Valašské Meziříčí,Vsetín,Zlínský kraj,2007,"Seifertova 91, Valašské Meziříčí 75701"
-496418.95569999889,-1139547.6389,100,"Zašovská 72, Valašské Meziříčí 75701",67304761,,Lékárna Panax,Zašovská 72,75701,Valašské Meziříčí,Vsetín,Zlínský kraj,2007,"Zašovská 72, Valašské Meziříčí 75701"
-496256.74219999835,-1154712.5194,100,"Dolní náměstí 334, Vsetín 75501",61976687,,Lékárna ONYX,Dolní náměstí 334,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Dolní náměstí 334, Vsetín 75501"
-495523.85040000081,-1155545.0251999982,100,"Generála Klapálka 300, Vsetín 75501",27145131,Eurolékárna,"Eurolékárna s.r.o., Lékárna",Generála Klapálka 300,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Generála Klapálka 300, Vsetín 75501"
-496152.82290000096,-1154991.8147,100,"nám. Svobody 1321, Vsetín 75501",47997923,,Lékárna Salvátor,nám. Svobody 1321,75501,Vsetín,Vsetín,Zlínský kraj,2007,"nám. Svobody 1321, Vsetín 75501"
-495930.9114000015,-1155334.8783,100,"Nemocniční 945, Vsetín 75501",26871068,,"Vsetínská nemocnice a.s., Nemocniční lékárna",Nemocniční 945,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Nemocniční 945, Vsetín 75501"
-495977.80519999936,-1155203.0365,100,"Smetanova 1244, Vsetín 75501",47997923,,Lékárna U Bílého orla,Smetanova 1244,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Smetanova 1244, Vsetín 75501"
-496442.13239999861,-1154936.4279000014,100,"Smetanova 841, Vsetín 75501",49586203,,Lékárna,Smetanova 841,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Smetanova 841, Vsetín 75501"
-496029.23330000043,-1155168.547499999,100,"Smetanova 902, Vsetín 75501",47658240,,Lékárna Medicentrum,Smetanova 902,75501,Vsetín,Vsetín,Zlínský kraj,2007,"Smetanova 902, Vsetín 75501"
-453858.95309999958,-1108528.5555,100,"Obecní 714, Albrechtice 73543",63024667,,Lékárna Ve Středisku,Obecní 714,73543,Albrechtice,Karviná,Moravskoslezský kraj,2007,"Obecní 714, Albrechtice 73543"
-464730.555,-1094773.267,98.13,"Alešova 591, Bohumín 73581",25353349,,"Pro D.F. s.r.o., Lékárna U Anděla strážce",Alšova 591/1,73581,Bohumín,Karviná,Moravskoslezský kraj,2007,"Alšova 591, Bohumín 73581"
-464591.26559999958,-1095295.1484000012,100,"Bezručova 150, Bohumín 73581",40275981,,Lékárna Melissa,Bezručova 150,73581,Bohumín,Karviná,Moravskoslezský kraj,2007,"Bezručova 150, Bohumín 73581"
-464965.24130000174,-1094122.9268000014,100,"Čáslavská 1176, Bohumín 73581",61988243,,Lékárna Clara,Čáslavská 1176,73581,Bohumín,Karviná,Moravskoslezský kraj,2007,"Čáslavská 1176, Bohumín 73581"
-464636.33280000091,-1094634.9761000015,91.43,"tř. Dr. E. Beneše 109, Bohumín 73581",25351460,,"Lékárna Centrum, SCK Pharm s.r.o.",Tř. Dr. Beneše 109,73581,Bohumín,Karviná,Moravskoslezský kraj,2007,"Tř. Dr. Beneše 109, Bohumín 73581"
-446880.7520999983,-1113623.7861,100,"Čapkova 9, Český Těšín 73701",60963531,,Lékárna Kamenec,Čapkova 9,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Čapkova 9, Český Těšín 73701"
-452606.441199999,-1116276.3281,97,"Frýdecká 140, Český Těšín 73701",18127908,,"Aga Kommerz s.r.o., Lékárna U polikliniky",Frýdecká 14/2006,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Frýdecká 14, Český Těšín 73701"
-447020.4232,-1113447.875599999,90,"Hlavní třída 34, Český Těšín 73701",45217092,,Lékárna U Salvátora,Hlavní 34,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Hlavní 34, Český Těšín 73701"
-447892.64550000057,-1113163.629,97,"Hrabinská 500, Český Těšín 73701",69206031,,Lékárna Na Hrabinské,Hrabinská 50a/895,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Hrabinská 50a, Český Těšín 73701"
-447383.41550000012,-1115053.1776,97,"Jablunkovská 76, Český Těšín 73701",26826011,,Lékárna sv. Josefa s.r.o.,Jablunkovská 76a/1916,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Jablunkovská 76a, Český Těšín 73701"
-447278.91470000148,-1113490.7344,100,"Komorní 1, Český Těšín 73701",68304293,,Lékárna Na Ostravské,Komorní 1/564,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Komorní 1, Český Těšín 73701"
-446742.88410000131,-1113534.3566000015,100,"Moskevská 13, Český Těšín 73701",42080061,,Lékárna U Tržnice,Moskevská 13/172,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Moskevská 13, Český Těšín 73701"
-448106.99199999869,-1113377.5172999986,100,"Ostravská 2030, Český Těšín 73701",26230071,Dr.Max,"Česká lékárna a.s., Dr. Max Lékárna",Ostravská 2030,73701,Český Těšín,Karviná,Moravskoslezský kraj,2007,"Ostravská 2030, Český Těšín 73701"
-459510.43079999834,-1095525.0361,100,"K Výšině 13, Dolní Lutyně 73553",27783375,,"Tusilago s.r.o., Lékárna U sv. Barbory",K Výšině 13,73553,Dolní Lutyně,Karviná,Moravskoslezský kraj,2007,"K Výšině 13, Dolní Lutyně 73553"
-456940.511,-1106683.116599999,100,"Těrlická 1298, Horní Suchá 73535",62353527,,Lékárna U Dvora,Těrlická 1298,73535,Horní Suchá,Karviná,Moravskoslezský kraj,2007,"Těrlická 1298, Horní Suchá 73535"
-462972.55449999869,-1102667.6356,100,"Školní 1050, Petřvald 73541",46111999,,Lékárna Camilla,Školní 1050,73541,Petřvald,Karviná,Moravskoslezský kraj,2007,"Školní 1050, Petřvald 73541"
-463535.21539999917,-1098636.6367999986,100,"Mírová 1537, Rychvald 73532",25825194,,"Apavar s.r.o., Lékárna Rychvald",Mírová 1537,73532,Rychvald,Karviná,Moravskoslezský kraj,2007,"Mírová 1537, Rychvald 73532"
-456950.47239999846,-1112037.1147999987,100,"Májová 757, Těrlicko 73542",66745381,,Lékárna U Zlatých vah,Májová 757,73542,Těrlicko,Karviná,Moravskoslezský kraj,2007,"Májová 757, Těrlicko 73542"
-451608.99060000107,-1101159.2751999982,100,"Fryštátská 24, Karviná 73301",25386590,,"SAMARITÁN s.r.o., Výdejna ZP",Fryštátská 24/152,73301,Karviná,Karviná,Moravskoslezský kraj,2007,"Fryštátská 24, Karviná 73301"
-459317.75160000101,-1098042.8465000018,88,"Masarykova třída 900, Orlová 73514",41692497,,Medistyl s.r.o. Výdejna ZP,Masarykova 900,73514,Orlová,Karviná,Moravskoslezský kraj,2007,"Masarykova 900, Orlová 73514"
-712051.99680000171,-1048771.8858,96,"Suvorovova 59, Český Brod 28201",43095721,,Lékárna ROSA,Suvorovova 5,28201,Český Brod,Kolín,Středočeský kraj,2007,"Suvorovova 5, Český Brod 28201"
-689533.90590000153,-1057472.2531999983,100,"Benešova 1000, Kolín 28002",26230071,Dr.Max,"Česká lékárna a.s., Dr. Max Lékárna",Benešova 1000,28002,Kolín,Kolín,Středočeský kraj,2007,"Benešova 1000, Kolín 28002"
-688354.16629999876,-1056838.8346000016,100,"Karlovo náměstí 89, Kolín 28002",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna U ČERNÉHO ORLA",Karlovo náměstí 89,28002,Kolín,Kolín,Středočeský kraj,2007,"Karlovo náměstí 89, Kolín 28002"
-689001.99839999899,-1056321.0058000013,100,"V Kasárnách 1019, Kolín 28002",47549335,,"Lékárna HELIOS s.r.o., Salvia",V Kasárnách 1019,28002,Kolín,Kolín,Středočeský kraj,2007,"V Kasárnách 1019, Kolín 28002"
-688394.86939999834,-1056899.8717,100,"Zlatá 5, Kolín 28002",27564991,,Zlatá lékárna s.r.o.,Zlatá 5,28002,Kolín,Kolín,Středočeský kraj,2007,"Zlatá 5, Kolín 28002"
-699477.1763000004,-1048479.522,100,"Masarykovo nám. 53, Pečky 28911",62445081,,Lékárna PEČKY,Masarykovo nám. 53,28911,Pečky,Kolín,Středočeský kraj,2007,"Masarykovo nám. 53, Pečky 28911"
-700094.625,-1052840.8858999982,100,"Pražská 380, Plaňany 28104",47549335,,"Lékárna HELIOS s.r.o., TILIA",Pražská 380,28104,Plaňany,Kolín,Středočeský kraj,2007,"Pražská 380, Plaňany 28104"
-681923.24949999899,-1059731.1316,100,"U pomníku padlých 85, Starý Kolín 28123",48658324,,Lékárna U Zámku - OOVL,U pomníku padlých 85,28123,Starý Kolín,Kolín,Středočeský kraj,2007,"U pomníku padlých 85, Starý Kolín 28123"
-694120.43519999832,-1052584.250399999,100,"Riegrova 213, Velim 28101",66496683,,Lékárna VELIM,Riegrova 213,28101,Velim,Kolín,Středočeský kraj,2007,"Riegrova 213, Velim 28101"
-687861.97520000115,-1049364.6541,100,"Jiráskova 355, Velký Osek 28151",49846655,,Lékárna U ZLATÉHO LVA - OOVL,Jiráskova 355,28151,Velký Osek,Kolín,Středočeský kraj,2007,"Jiráskova 355, Velký Osek 28151"
-756437.2982,-1113221.4767999984,100,"Nádražní 1383, Milevsko 39901",60617284,,Lékárna ASPASIA s.r.o.,Nádražní 1383,39901,Milevsko,Písek,Jihočeský kraj,2007,"Nádražní 1383, Milevsko 39901"
-756594.01419999823,-1112348.649599999,100,"Sokolovská 193, Milevsko 39901",18282270,,Lékárna Pod Synagogou,Sokolovská 193,39901,Milevsko,Písek,Jihočeský kraj,2007,"Sokolovská 193, Milevsko 39901"
-756763.18780000135,-1112288.006000001,100,"Za Krejcárkem 150, Milevsko 39901",60082275,,Lékárna U polikliniky,Za Krejcárkem 150,39901,Milevsko,Písek,Jihočeský kraj,2007,"Za Krejcárkem 150, Milevsko 39901"
-778985.72560000047,-1102099.8647,100,"Masarykovo náměstí 37, Mirovice 39806",46659609,,Lékárna TILIA,Masarykovo náměstí 37,39806,Mirovice,Písek,Jihočeský kraj,2007,"Masarykovo náměstí 37, Mirovice 39806"
-774504.5077,-1125832.7775,100,"Čechova 448, Písek 39701",63860465,,Lékárna Nad Řekou,Čechova 448,39701,Písek,Písek,Jihočeský kraj,2007,"Čechova 448, Písek 39701"
-774343.76839999855,-1126287.6191,100,"Drlíčov 150, Písek 39701",46659951,,Lékárna U Matky Boží,Drlíčov 150,39701,Písek,Písek,Jihočeský kraj,2007,"Drlíčov 150, Písek 39701"
-774693.71570000052,-1127383.5384000018,100,"Nádražní 2590, Písek 39701",27439496,,"RAVENSWOOD PHARMA a.s., Lékárna Tesco",Nádražní 2590,39701,Písek,Písek,Jihočeský kraj,2007,"Nádražní 2590, Písek 39701"
-774290.44900000095,-1126074.506099999,100,"Velké náměstí 6, Písek 39701",46659706,,Lékárna U svaté Anny,Velké náměstí 6,39701,Písek,Písek,Jihočeský kraj,2007,"Velké náměstí 6, Písek 39701"
-773731.30629999936,-1125933.2491,88,"Žižkova třída 403, Písek 39701",12327352,,Zelená lékárna,Žižkova 403/48,39701,Písek,Písek,Jihočeský kraj,2007,"Žižkova 403, Písek 39701"
-771025.21590000018,-1138895.307599999,100,"Masarykovo nám. 31, Protivín 39811",46659412,,Lékárna U Palmy,Masarykovo nám. 31,39811,Protivín,Písek,Jihočeský kraj,2007,"Masarykovo nám. 31, Protivín 39811"
-773971.37860000134,-1126484.6094999984,100,"Budějovická 274, Písek 39701",26358972,,"Medea medica s.r.o., Výdejna ZP",Budějovická 274/18,39701,Písek,Písek,Jihočeský kraj,2007,"Budějovická 274, Písek 39701"
-774111.6371,-1125202.1076,100,"Dobrovského 1149, Písek 39701",41885422,,Prosport - prodej ortoped.pomůcek,Dobrovského 1149,39701,Písek,Písek,Jihočeský kraj,2007,"Dobrovského 1149, Písek 39701"
-774170.90630000085,-1126266.6567,100,"Chelčického 72, Písek 39701",18279856,,Výdejna zdravotnických prostředků ,Chelčického 72,39701,Písek,Písek,Jihočeský kraj,2007,"Chelčického 72, Písek 39701"
-773803.9846,-1126791.4395999983,100,"Karla Čapka 589, Písek 39701",48254835,,Výdejna zdravotních prostředků ,Karla Čapka 589,39701,Písek,Písek,Jihočeský kraj,2007,"Karla Čapka 589, Písek 39701"
-774508.24909999967,-1126652.5144000016,100,"Sadová 598, Písek 39701",72135735,,Výdejna zdravotnického materiálu,Sadová 598,39701,Písek,Písek,Jihočeský kraj,2007,"Sadová 598, Písek 39701"
-813622.24489999935,-1089683.7452999987,100,"5. května 664, Blovice 33601",49180321,,Lékárna,5. května 664,33601,Blovice,Plzeň-jih,Plzeňský kraj,2007,"5. května 664, Blovice 33601"
-813603.99599999934,-1089489.997099999,100,"Americká 636, Blovice 33601",26388014,,Lékárna Betula s.r.o.,Americká 636,33601,Blovice,Plzeň-jih,Plzeňský kraj,2007,"Americká 636, Blovice 33601"
-830072.55820000172,-1078891.247299999,83.33,"Náměstí T. G. M. 116, Dobřany 33441",27966488,,"KRISTIANA DOBŘANY s.r.o., Lékárna U Spasitele",Náměstí T.G.M. 116,33441,Dobřany,Plzeň-jih,Plzeňský kraj,2007,"Náměstí T.G.M. 116, Dobřany 33441"
-829773.3048,-1078830.2454999983,100,"Spojovací 811, Dobřany 33441",25216791,Devětsil JST,"Devětsil JST s.r.o., Svatovítská lékárna",Spojovací 811,33441,Dobřany,Plzeň-jih,Plzeňský kraj,2007,"Spojovací 811, Dobřany 33441"
-811331.9375,-1100124.7454,90,"Na Vinici III. 487, Nepomuk 33501",25216791,Devětsil JST,"Devětsil JST s.r.o., Lékárna",Na Vinici 487,33501,Nepomuk,Plzeň-jih,Plzeňský kraj,2007,"Na Vinici 487, Nepomuk 33501"
-811396.1875,-1100187.9969,90,"Na Vinici II. 564, Nepomuk 33501",49181378,,Lékárna Nepomuk,Na Vinici 564,33501,Nepomuk,Plzeň-jih,Plzeňský kraj,2007,"Na Vinici 564, Nepomuk 33501"
-828795.69480000064,-1088262.717599999,100,"Husova 1205, Přeštice 33401",45333751,,Lékárna,Husova 1205,33401,Přeštice,Plzeň-jih,Plzeňský kraj,2007,"Husova 1205, Přeštice 33401"
-828919.91869999841,-1088287.4684000015,100,"Husova 1262, Přeštice 33401",65576683,,Lékárna V Husovce,Husova 1262,33401,Přeštice,Plzeň-jih,Plzeňský kraj,2007,"Husova 1262, Přeštice 33401"
-839786.62810000032,-1079242.627799999,100,"Hradecká 435, Stod 33301",26361086,,"Stodská nemocnice a.s., Ústavní lékárna",Hradecká 435,33301,Stod,Plzeň-jih,Plzeňský kraj,2007,"Hradecká 435, Stod 33301"
-840090.55669999868,-1079493.3779999986,100,"Hradecká 600, Stod 33301",26361086,,"Stodská nemocnice a.s., Výdejna léků",Hradecká 600,33301,Stod,Plzeň-jih,Plzeňský kraj,2007,"Hradecká 600, Stod 33301"
-839575.84679999948,-1079170.9597,100,"Nádražní 769, Stod 33301",25226363,,"PRIMA PHARMACY s.r.o., Lékárna Métis",Nádražní 769,33301,Stod,Plzeň-jih,Plzeňský kraj,2007,"Nádražní 769, Stod 33301"
-811989.70760000125,-1023366.413899999,100,"Hlavní 51, Kryry 43981",61357022,,Nová lékárna,Hlavní 51,43981,Kryry,Louny,Ústecký kraj,2007,"Hlavní 51, Kryry 43981"
-784907.08940000087,-1004674.6136,100,"Knížete Václava 64, Lenešice 43923",49903012,,"PHARMA, s.r.o., Lékárna U Sv.Mikuláše - OOVL ",Knížete Václava 64,43923,Lenešice,Louny,Ústecký kraj,2007,"Knížete Václava 64, Lenešice 43923"
-783186.9552000016,-1006851.251600001,100,"Kosmonautů 2303, Louny 44001",67812236,,Lékárna Na Široké,Kosmonautů 2303,44001,Louny,Louny,Ústecký kraj,2007,"Kosmonautů 2303, Louny 44001"
-782025.15900000185,-1007971.8454000019,100,"Pod Nemocnicí 2503, Louny 44001",49125893,,Lékárna V Poliklinice,Pod Nemocnicí 2503,44001,Louny,Louny,Ústecký kraj,2007,"Pod Nemocnicí 2503, Louny 44001"
-782098.10759999976,-1007984.7199999988,100,"Pod Nemocnicí 2709, Louny 44001",25230417,,"Lékárna U Léčivého pramene, s.r.o.",Pod Nemocnicí 2709,44001,Louny,Louny,Ústecký kraj,2007,"Pod Nemocnicí 2709, Louny 44001"
-782522.86529999971,-1007133.5423999988,100,"Pražská 111, Louny 44001",27566374,,"VYSTAT s.r.o., Lékárna Na Pražské",Pražská 111,44001,Louny,Louny,Ústecký kraj,2007,"Pražská 111, Louny 44001"
-820627.1173,-1026736.5412999988,100,"Karlovarská 146, Lubenec 43983",25477579,,"ŠPERGL, s.r.o., Lékárna U Zlatého anděla - OOVL",Karlovarská 146,43983,Lubenec,Louny,Ústecký kraj,2007,"Karlovarská 146, Lubenec 43983"
-812214.97870000079,-1017110.843699999,100,"Masarykovo náměstí 440, Podbořany 44101",25477579,,"ŠPERGL, s.r.o., Lékárna U Zlatého anděla",Masarykovo náměstí 440,44101,Podbořany,Louny,Ústecký kraj,2007,"Masarykovo náměstí 440, Podbořany 44101"
-812274.3478000015,-1017296.744899999,100,"Přátelství 279, Podbořany 44101",64764249,,Lékárna U Konvalinek,Přátelství 279,44101,Podbořany,Louny,Ústecký kraj,2007,"Přátelství 279, Podbořany 44101"
-789538.41569999978,-1005606.9919,100,"Jiráskovo náměstí 496, Postoloprty 43942",49120280,,Lékárna U Anděla Strážce,Jiráskovo náměstí 496,43942,Postoloprty,Louny,Ústecký kraj,2007,"Jiráskovo náměstí 496, Postoloprty 43942"
-800966.91670000181,-1007600.9415,100,"Dvořákova 40, Žatec 43801",46764186,,Lékárna U Českého lva,Dvořákova 40,43801,Žatec,Louny,Ústecký kraj,2007,"Dvořákova 40, Žatec 43801"
-801552.14939999953,-1008498.6723,100,"Husova 2796, Žatec 43801",25026259,,"Nemocnice Žatec, Lékárna Na Poliklinice",Husova 2796,43801,Žatec,Louny,Ústecký kraj,2007,"Husova 2796, Žatec 43801"
-800704.99509999901,-1008059.0018,100,"Pražská 797, Žatec 43801",62251066,,Lékárna U Kláštera,Pražská 797,43801,Žatec,Louny,Ústecký kraj,2007,"Pražská 797, Žatec 43801"
-782059.36609999835,-1007825.314,100,"Pod Nemocnicí 2380, Louny 44001",13945521,,INSPO REHATECHNIK,Pod Nemocnicí 2380,44001,Louny,Louny,Ústecký kraj,2007,"Pod Nemocnicí 2380, Louny 44001"
-812279.82770000026,-1017428.510400001,100,"Husova 434, Podbořany 44101",61761656,,KK - Výdejna zdravotnických prostředků,Husova 434,44101,Podbořany,Louny,Ústecký kraj,2007,"Husova 434, Podbořany 44101"
-801552.14939999953,-1008498.6723,100,"Husova 2796, Žatec 43801",61761656,,"Zelená hvězda Žatec, Výdejna zdravotnických prostředků",Husova 2796,43801,Žatec,Louny,Ústecký kraj,2007,"Husova 2796, Žatec 43801"
-658744.76300000027,-995504.50349999964,100,"Masarykovo náměstí 135, Jilemnice 51401",62064312,,"PANACEA, s.r.o., Lékárna U Č.koruny",Masarykovo náměstí 135,51401,Jilemnice,Semily,Liberecký kraj,2007,"Masarykovo náměstí 135, Jilemnice 51401"
-659180.28090000153,-995132.71269999817,100,"Metyšova 465, Jilemnice 51401",25296451,,"ZEA+, s.r.o., Lékárna Na Poliklinice",Metyšova 465,51401,Jilemnice,Semily,Liberecký kraj,2007,"Metyšova 465, Jilemnice 51401"
-659226.27019999921,-995143.20270000026,100,"Metyšova 468, Jilemnice 51401",00192546,,"Masarykova městská nemocnice, Ústavní lékárna ",Metyšova 468,51401,Jilemnice,Semily,Liberecký kraj,2007,"Metyšova 468, Jilemnice 51401"
-658887.00090000033,-995489.96079999954,100,"Tyršovo náměstí 126, Jilemnice 51401",62064312,,"Lékárna PANACEA, s.r.o.",Tyršovo náměstí 126,51401,Jilemnice,Semily,Liberecký kraj,2007,"Tyršovo náměstí 126, Jilemnice 51401"
-669282.0,-1002868.8911,100,"Josefa Jana Fučíka 58, Lomnice nad Popelkou 51251",60914998,,"Lékárna 050803, v.o.s., Herbal",Josefa Jana Fučíka 58,51251,Lomnice nad Popelkou,Semily,Liberecký kraj,2007,"Josefa Jana Fučíka 58, Lomnice nad Popelkou 51251"
-669513.9551,-1002543.2835,100,"Obránců míru 866, Lomnice nad Popelkou 51251",60914998,,"Lékárna 050803, v.o.s.",Obránců míru 866,51251,Lomnice nad Popelkou,Semily,Liberecký kraj,2007,"Obránců míru 866, Lomnice nad Popelkou 51251"
-677165.99599999934,-1001539.0020999983,100,"Čechova 219, Rovensko pod Troskami 51263",25282573,,"Lékárna Na Poliklinice, s.r.o. - OOVL",Čechova 219,51263,Rovensko pod Troskami,Semily,Liberecký kraj,2007,"Čechova 219, Rovensko pod Troskami 51263"
-670971.2456,-994632.44570000097,100,"Riegrovo náměstí 14, Semily 51301",25999532,,"LENA SM, s.r.o., Lékárna U České koruny",Riegrovo náměstí 14,51301,Semily,Semily,Liberecký kraj,2007,"Riegrovo náměstí 14, Semily 51301"
-670945.34950000048,-994766.50180000067,100,"Tyršova 394, Semily 51301",25286773,,"PLATAN, s.r.o.,Lékárna Na Poliklinice",Tyršova 394,51301,Semily,Semily,Liberecký kraj,2007,"Tyršova 394, Semily 51301"
-682726.61699999869,-994729.70450000092,100,"28. října 1000, Turnov 51101",25926578,,"Lékárna Turnov, s.r.o.",28. října 1000,51101,Turnov,Semily,Liberecký kraj,2007,"28. října 1000, Turnov 51101"
-683573.28970000148,-994927.7520999983,100,"Antonína Dvořáka 320, Turnov 51101",64254305,,"Lékárna Pod Radnicí, s.r.o.",Antonína Dvořáka 320,51101,Turnov,Semily,Liberecký kraj,2007,"Antonína Dvořáka 320, Turnov 51101"
-684614.09820000082,-994645.04430000111,100,"Nádražní 1129, Turnov 51101",45598151,,Lékárna U Nádraží,Nádražní 1129,51101,Turnov,Semily,Liberecký kraj,2007,"Nádražní 1129, Turnov 51101"
-665010.00090000033,-986054.00560000166,100,"Náměstí Dr. Karla Kramáře 54, Vysoké nad Jizerou 51211",49294407,,Lékárna U Černého medvěda,náměstí Dr. Karla Kramáře 54,51211,Vysoké nad Jizerou,Semily,Liberecký kraj,2007,"náměstí Dr. Karla Kramáře 54, Vysoké nad Jizerou 51211"
-677165.99599999934,-1001539.0020999983,100,"Čechova 219, Rovensko pod Troskami 51263",25282573,,Výdejna zdravotnických prostředků,Čechova 219,51263,Rovensko pod Troskami,Semily,Liberecký kraj,2007,"Čechova 219, Rovensko pod Troskami 51263"
-671433.61699999869,-995363.49320000038,100,"Bořkovská 15, Semily 51301",25296256,,"S-CARE, s.r.o., Výdejna zdravotnických prostředků",Bořkovská 15,51301,Semily,Semily,Liberecký kraj,2007,"Bořkovská 15, Semily 51301"
-683994.36470000073,-994728.86459999904,100,"Palackého 187, Turnov 51101",62014307,,Výdejna prostředků zdravonické techniky,Palackého 187,51101,Turnov,Semily,Liberecký kraj,2007,"Palackého 187, Turnov 51101"
-624087.79230000079,-1056837.1019,100,"Kout 562, Borohrádek 51724",27467309,,"LBORO s.r.o., Lékárna",Kout 562,51724,Borohrádek,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Kout 562, Borohrádek 51724"
-617117.63210000098,-1054077.5042,100,"Masarykova 53, Častolovice 51750",45543801,,Lékárna Na Rynečku,Masarykova 53,51750,Častolovice,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Masarykova 53, Častolovice 51750"
-625108.89530000091,-1035685.2802999988,100,"Záhumenská 445, České Meziříčí 51771",68245343,,Lékárna Primula,Záhumenská 445,51771,České Meziříčí,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Záhumenská 445, České Meziříčí 51771"
-616936.17119999975,-1035950.5615000017,100,"Pulická 99, Dobruška 51801",25936506,,Lékárna Na Poliklinice,Pulická 99,51801,Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Pulická 99, Dobruška 51801"
-611977.2520999983,-1057275.3803,100,"Dukelská 91, Doudleby nad Orlicí 51742",48600024,,Lékárna Astra - OOVL,Dukelská 91,51742,Doudleby nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Dukelská 91, Doudleby nad Orlicí 51742"
-615496.35429999977,-1054849.5955,100,"Komenského 533, Kostelec nad Orlicí 51741",45543801,,Lékárna Arnika,Komenského 533,51741,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Komenského 533, Kostelec nad Orlicí 51741"
-615799.02010000125,-1054837.4844,100,"Komenského 702, Kostelec nad Orlicí 51741",48631442,,Lékárna ARLETA,Komenského 702,51741,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Komenského 702, Kostelec nad Orlicí 51741"
-615205.5821999982,-1055022.310800001,100,"Palackého náměstí 26, Kostelec nad Orlicí 51741",48616907,,Lékárna,Palackého náměstí 26,51741,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Palackého náměstí 26, Kostelec nad Orlicí 51741"
-620525.62579999864,-1037985.0203999989,100,"Nádražní 288, Opočno 51773",27465357,,LÉKÁRNA VIOLA s.r.o.,Nádražní 288,51773,Opočno,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Nádražní 288, Opočno 51773"
-620349.74469999969,-1038349.4516999982,100,"Zámecká 63, Opočno 51773",73610127,,Lékárna U Zámku,Zámecká 63,51773,Opočno,Rychnov nad Kněžnou,Královéhradecký kraj,2007,"Zámecká 63, Opočno 51773"
