adresa,znacka_2015,x,zmena,znacka_1999,nazev_1999,nazev_2007,y,nazev_2015,znacka_2007
"Kartouzská 204, Praha 15000",,-744407.9998000003,n,,,,-1044303.0020999983,Lékárna Medifin,
"Karvinská 5, Havířov - Město 73601",,-460043.7109999992,n,,,,-1107755.9043999985,Lékárna Dům zdraví,
"Kasárenská 4, České Budějovice 37001",,-754873.4158999994,n,,,"Lékárna Lannova třída s.r.o., Lékárna U Nádraží",-1166539.7996999994,Lékárna U Nádraží,
"Kateřinská 11, Olomouc 77900",,-546954.2340000011,n,,,,-1121854.998300001,Lékárna Salve,
"Kateřinská 34, Praha 12000",BENU,-742569.7382999994,y,,,"G-FAM s.r.o., Lékárna Kateřinská",-1044489.8313999996,BENU Lékárna,
"Katovická 1303, Strakonice 38601",Dr.Max,-793377.9686000012,n,,,,-1128387.6495000012,Dr.Max LÉKÁRNA,
"Kavánova 422, Hlinsko 53901",BENU,-641262.1048999988,n,,,,-1092108.2556000017,BENU Lékárna,
"Kavčí 5, Brno 63500",,-605788.0403999984,n,,,,-1157684.7544,Lékárna Kamechy,
"Kaznějovská 45, Plzeň 32326",,-822039.6072999984,n,,Bolevecká lékárna,,-1066181.0947999991,Bolevecká lékárna,
"Kaštanová 268, Třinec 73961",,-442775.3717,n,,,,-1121821.2258000001,Lékárna nemocnice Třinec,
"Ke Hřbitovu 174, Lány 27061",,-775430.4897999987,n,,,,-1033890.4354999997,OOVL - L Lékárna U sv. Antonína,
"Ke Hřišti 163, Opatovice nad Labem 53345",,-644715.2245000005,n,,,,-1048078.440200001,OOVL - L Lékárna U Zlatého lva,
"Ke Karlovu 6, Praha 12000",,-742556.9987999983,n,,Lékárna ARCANA,,-1044842.0047000013,"Nemocniční lékárna VFN v Praze, odd. výdeje pro veřejnost II",
"Ke Koulce 7, Praha 15000",,-744409.9968000017,n,,Lékárna VIVO v.o.s.,,-1045681.0007999986,Lékárna U Lávky,
"Ke Strašnické 3304, Praha 10000",,-737921.5199999996,n,,,,-1045778.4004999995,Lékárna Krupská,
"Ke kinu 7, Praha 18200",,-737720.6942000017,n,,,,-1037149.8949999996,Ďáblice,
"Kelč 31, Kelč 75643",Agel,-507734.64090000093,n,,,,-1138145.5315000005,LÉKÁRNA AGEL,
"Kischova 1733, Praha 14000",,-742458.3656000011,n,,,,-1046588.9514000006,Lékárna Kischova,
"Klatovská 1202, Plzeň 32000",Plzeňská lékárna,-823376.1744999997,n,,,,-1071725.829599999,Lékárna Fontána,
"Klatovská 66, Plzeň 30100",,-823074.8278999999,n,,,,-1070681.8139999993,U sv. Jana Nepomuckého,
"Klenčí pod Čerchovem 285, Klenčí pod Čerchovem 34534",,-867719.7193000019,n,,,,-1097604.271400001,Lékárna Klenčí s.r.o.,
"Klicperova 53, Chlumec nad Cidlinou 50351",,-668273.1842,n,,,,-1045131.132199999,Lékárna U Anděla,
"Klimenta Čermáka 116, Čáslav 28601",,-676292.305399999,n,,,,-1071862.7518000007,Lékárna U Bašty,
"Klofáčova 395, Třeboň 37901",,-734461.4167999998,n,,Lékárna U Růže,Lékárna U Růže,-1165501.487399999,Magistra Lékárna U růže,
"Klokotská 103, Tábor 39001",,-736118.9985999987,n,,,Lékárna Na Starém Městě,-1119652.4582000002,Lékárna Na Starém Městě,
"Klostermannova 1219, Plzeň 30100",Plzeňská lékárna,-822893.0967999995,n,,,,-1071457.8405000009,Modrá lékárna,
"Klášterní 117, Liberec 46001",Dr.Max,-687211.7696000002,n,,,,-973762.8482000008,Dr.Max LÉKÁRNA,
"Klášterní 117, Liberec 46005",Plzeňská lékárna,-687359.0064000003,n,,,,-973967.9048999995,Lékárna V Klášteře,
"Klášterní 237, Teplá 36461",,-854714.1851000004,n,,,,-1038727.5857999995,OOVL - L Tilia,
"Klášterní 4, Valtice 69142",,-592415.9943000004,n,,Lékárna,Lékárna,-1211832.4508000016,Nemocnice Valtice s.r.o.,
"Klášterní náměstí 91, Osek 41705",,-785734.9787000008,n,,,,-976823.0111000016,LÉKÁRNA OSEK,
"Klášterská 72, Jindřichův Hradec 37701",BENU,-715010.2294999994,y,Červený bod,"Lék. V Klášterské, Červený bod, s.r.o.",EUROPHARM a.s. Lékárna V Klášterské,-1152310.5984999985,BENU Lékárna,EUROPHARM
"Kmochova 18, Olomouc 77900",,-548495.4858000018,n,,,Lékárna,-1121572.9659000002,Lékárna,
"Kněžice 2, Kněžice 67529",,-665182.0582999997,n,,,,-1146133.9730999991,U zámku,
"Kobližná 2, Brno 60200",,-598012.1338,n,,,,-1160737.8847000003,Chytrá lékárna,
"Kobližná 7, Brno 60200",,-598078.8035999984,n,,Lékárna,Lékárna,-1160745.7258000001,Na Kobližné,
"Kobylí 722, Kobylí 69110",,-581040.7718000002,n,,,,-1192205.0337000005,OOVL - Lékárny Velké Bílovice,
"Kochova 1185, Chomutov 43012",,-808336.003899999,n,,,,-992318.9195000008,"Krajská zdravotní, a.s. - Nemocnice Chomutov, o.z.",
"Kochova 1227, Havířov-Šumbark 73601",,-462028.72370000184,n,,,,-1106739.2809000015,Lékárna Léčebné centrum,
"Kojetice 82, Kojetice 67523",,-655897.6163000017,n,,,,-1158369.5485000014,OOVL Kojetice,
"Kojetická 1021, Neratovice 27711",,-733300.4076999985,n,,Lékárna,Lékárna Kojetická,-1025754.320700001,Kojetická,
"Kolinec 268, Kolinec 34142",,-825577.1807000004,n,,,,-1119605.1618000008,OOVL - L ASTER PHARMA,
"Koliště 47, Brno 60200",,-597609.3253000006,n,,"Lékárna K.E.I. pharma, s.r.o.",Lékárna K.E.I. pharma s.r.o.,-1160612.0456000008,Lékárna s odbor.pracovišti a prodejna zdravot.potřeb Koliště,
"Kollárova 19, Jihlava 58601",,-668799.999400001,n,,,,-1128174.9946000017,LÉKÁRNA HERBA,
"Kollárova 2070, Svitavy 56802",,-601455.9028999992,n,,,,-1097884.5857999995,Lékárna na poliklinice,
"Kollárova 659, Blansko 67801",,-593530.3638000004,n,,,,-1143244.5251999982,Lékárna SVITAVA,
"Kollárova 9, Hodonín 69501",,-563830.6440999992,n,,,,-1202421.307,Lékárna MediCentrum Hodonín,
"Kolínská 173, Uhlířské Janovice 28504",,-700055.1845999993,n,,,,-1071807.3414999992,U Českého lva,
"Kolínská 2507, Nymburk 28828",Dr.Max,-697329.3176999986,n,,,,-1038991.3277999982,Dr.Max LÉKÁRNA,
"Komenského 11, Jablonec nad Nisou 46601",,-680790.0395000018,n,,,,-979846.1926000006,U Anděla,
"Komenského 11, Polička 57201",,-616429.7252000012,n,,,,-1100646.4976999983,Nová lékárna,
"Komenského 126, Opočno 51773",,-620245.9721999988,n,,,,-1038319.7906999998,Lékárna U Zámku,
"Komenského 129, Třebívlice 41115",,-773895.7870000005,n,,,,-997041.6556000002,OOVL - L Na náměstí,
"Komenského 186, Karlovy Vary 36007",,-853496.4970000014,n,,,,-1012576.6235000007,U Lukáše,
"Komenského 1894, Vlašim 25801",Dr.Max,-714597.2657000013,n,,,,-1089711.0276000015,Dr.Max LÉKÁRNA,
"Komenského 211, Vysoké Mýto 56601",,-621257.5131999999,n,,Nová lékárna,"Šedova lékárna, s.r.o., Nová lékárna",-1073304.6127000004,Nová lékárna,
"Komenského 219, Cvikov 47154",,-717825.9246999994,n,,Lékárna U zlatého hada,Lékárna U Zlatého hada,-968788.930300001,U Zlatého hada,
"Komenského 224, Mikulov 69201",,-600760.4838999994,n,,,,-1204182.5262000002,Lékárna Komenského,
"Komenského 2466, Jablonec nad Nisou 46601",,-680840.8273999989,n,,,,-979842.6627000012,Lékárna V Centru,
"Komenského 25, Dašice v Čechách 53303",,-637621.2003000006,n,,,,-1062954.3552,Dašická lékárna,
"Komenského 264, Hradec Králové 50003",,-641006.0450999998,n,,,,-1042511.7049000002,Lékárna Komenium,
"Komenského 269, Podivín 69145",,-585057.370099999,n,,Lékárna U Anděla strážce,Lékárna Podivín,-1203204.6578000002,Lékárna Podivín,
"Komenského 299, Letohrad 56151",,-596256.7822999991,n,,Lékárna,Lékárna,-1066762.4934,Lékárna,
"Komenského 300, Nová Paka 50901",Dr.Max,-659454.5309000015,n,,,,-1008294.8333999999,Dr.Max LÉKÁRNA,
"Komenského 303, Sedlec - Prčice 25791",,-742727.3920999989,n,,,Lékárna,-1100766.5157000013,Lékárna,
"Komenského 4, Šumperk 78701",,-562682.8326999992,n,,Krajinská lékárna,Krajinská lékárna,-1078366.8167999983,Krajinská lékárna,
"Komenského 40, Přerov 75000",,-534495.0887999982,n,,,,-1138663.5771999992,Lékárna Komenského Přerov s.r.o.,
"Komenského 49, Hořovice 26801",,-783456.4182999991,n,,Lékárna,Lékárna,-1065706.7545999996,Lékárna,
"Komenského 490, Nová Paka 50901",,-659476.1512000002,n,,Lékárna U zlaté číše,Lékárna U zlaté číše,-1008274.1118000001,Lékárna U Zlaté číše,
"Komenského 5, Fryšták 76316",,-519049.7232999988,n,,,,-1158621.126699999,Lékárna Fryšták,
"Komenského 533, Kostelec nad Orlicí 51741",,-615496.3542999998,n,,Lékárna Arnika,Lékárna Arnika,-1054849.5954999998,Lékárna Arnika,
"Komenského 535, Řevnice 25230",,-758725.996199999,n,,Lékárna GRATIOLA,Lékárna U stříbrné hvězdy,-1060292.2243999988,U Stříbrné hvězdy,
"Komenského 582, Hlinsko 53901",,-641520.1440999992,n,,,Nová lékárna,-1092332.6574999988,Nová lékárna,
"Komenského 588, Kyjov 69701",,-562693.5518000014,n,,,"1. lékárenská Kyjov s.r.o., Lékárna",-1184621.1466000006,"Lékárna 1. lékárenská Kyjov, s.r.o.",
"Komenského 597, Lysice 67971",,-600040.1436999999,n,,,Lékárna,-1131751.139899999,Lékárna Lysice,
"Komenského 688, Litovel 78401",,-558727.8425999992,n,,Nová lékárna,,-1108316.0766999982,Nová lékárna,
"Komenského 700, Přerov 75000",,-534523.126600001,n,,,,-1138650.8044999987,Lékárna U Pivovaru,
"Komenského 72, Nové Město nad Metují 54901",,-616765.9050999992,n,,,,-1029847.9129999988,Lékárna Nové Město nad Metují,
"Komenského 724, Přerov 75002",,-534165.5544999987,n,,,,-1138612.294399999,Lékárna U Hygie,
"Komenského 733, Bílovice nad Svitavou 66401",,-592827.943599999,n,,,"DELTA, s.r.o., Lékárna",-1155702.7278999984,Lékárna,
"Komenského 821, Trutnov 54101",,-631114.4200999998,n,,,,-1003925.2525999993,Na Struze,
"Komenského 886, Mníšek p.Brdy 25210",,-757255.3632999994,n,,,,-1065954.0480999984,U Matky Boží,
"Komenského 92, Vysoké Mýto 56601",,-621261.7950000018,n,,,"Šedova lékárna, s.r.o., Lékárna U zvonice",-1073324.0304000005,Lékárna U Zvonice,
"Komenského 970, Roudnice nad Labem 41301",,-749460.7358999997,n,,Lékárna U českého lva,Lékárna U Českého lva,-1004307.8328999989,U Českého lva,
"Komenského nábřeží 102, Paskov 73921",,-470983.0945000015,n,,Lékárna U sv.Vavřince,"Lékárna U sv. Vavřince, s.r.o.",-1113032.685800001,Lékárna U sv. Vavřince,
"Komenského nám. 109, Nové Strašecí 27101",,-778644.3869999982,n,,,,-1030536.4484999999,Lékárna U České Koruny,
"Komenského nám. 123, Tišnov 66601",,-609773.3905000016,n,,,,-1142246.4050000012,Chytrá lékárna,
"Komenského nám. 1850, Říčany 25101",,-726950.0489000008,n,,Lékárna,Lékárna Říčany,-1055947.6033000015,"Lékárna ""DPS""",
"Komenského nám. 30, Jaroměřice nad Rokytnou 67551",,-651483.9618999995,n,,,,-1165977.5187,Lékárna Jaroměřice,
"Komenského nám. 372, Kroměříž 76701",,-539759.7432000004,n,,,,-1155106.2313,LÉKÁRNA U KOMENSKÉHO,
"Komenského náměstí 142, Votice 25901",,-733821.6939000003,n,,,,-1094507.0612000003,LÉKÁRNA VE VOTICÍCH s.r.o.,
"Komenského náměstí 92, Zásmuky 28144",,-701486.0203000009,n,,,Lékárna Zásmuky,-1063450.5152999982,Lékárna Zásmuky,
"Komorní 564, Český Těšín 73701",,-447278.9147000015,n,,,,-1113490.7344000004,Lékárna Na Ostravské,
"Komunardů 1467, Praha 17000",,-740500.9959000014,n,,,,-1041376.0045999996,Lékárna Neopharm Komunardů,
"Komunardů 16, Praha 17000",,-740582.4668999985,n,,Lékárna U zlatého kalicha,Lékárna U Zlatého kalicha,-1041759.7655000016,Lékárna U zlatého kalicha,
"Konečná 25, Prostějov 79601",Dr.Max,-557195.9266999997,n,,,,-1132747.949000001,Dr.Max LÉKÁRNA,
"Konečná 4, Hodonín 69501",Dr.Max,-563511.4915000014,n,,,"Česká lékárna,a.s., Lékárna U Kauflandu",-1202186.068599999,Dr.Max LÉKÁRNA,Dr.Max
"Konská 453, Třinec 73961",Agel,-447672.2468000017,y,,,"Repharm, a.s., Lékárna Třinec Podlesí ",-1120494.5577000007,LÉKÁRNA AGEL,
"Koněvova 110, Ostrava - Heřmanice 71300",,-467023.06610000134,n,,,,-1099253.0665999986,Lékárna Heřmanka,
"Koněvova 1604, Praha 13000",,-739061.9954000004,n,,,,-1043114.0,Na Vápence,
"Koněvova 223, Praha 13000",,-737731.2547000013,n,,,"Pharmedol s.r.o., Lékárna Jarov",-1043145.2116999999,Lékárna Jarov Pharmedol,
"Koněvova 2427, Praha 13000",,-738125.9990000017,n,,,,-1043050.002700001,Lékárna Na Chmelnici,
"Koněvova 2596, Praha 13000",,-738046.9948999994,n,,,,-1043079.0,sLéky lékárna,
"Korunní 89, Praha 13000",,-740718.5258000009,n,,Lékárna u Robina,"Lékárna U Robina, s.r.o.",-1044633.9840000011,U Robina,
"Korunní 929, Praha 12000",,-741503.9968999997,n,,,,-1044568.0014000013,Lékárna u Zlaté koruny,
"Kosmonautů 2303, Louny 44001",,-783186.9552000016,n,,,Lékárna Na Široké,-1006851.251600001,Lékárna Na Široké,
"Kosmonautů 842, Karviná - Ráj 73401",,-450736.35880000144,n,,,,-1101599.7760000005,Lékárna KHN v Ráji,
"Kostelecká 1204, Náchod 54701",,-614677.8625000007,n,,,,-1021530.5722999983,Lékárna Plhov,
"Kostelecká 1959, Brandýs nad Labem 25001",Dr.Max,-724911.5260000005,n,,,,-1034074.9354000017,Dr.Max LÉKÁRNA,
"Kostelecká 822, Praha 19000",Dr.Max,-735896.4184000008,n,,,,-1036892.7589000016,Dr.Max LÉKÁRNA,
"Kostelní 1203, Miroslav 67172",,-622604.4001000002,n,,,,-1185669.4145000018,Lékárna U Bílého anděla s.r.o.,
"Kostelní 1407, Strážnice 69662",Dr.Max,-550141.2325000018,y,,,"CONCORDIANA s.r.o., Lékárna DANAJ",-1198665.4274999984,Dr.Max LÉKÁRNA,
"Kostelní 168, Domažlice 34401",BENU,-859611.4268999994,y,,Lékárna Pod věží,Lékárna Pod věží,-1098412.4171000011,BENU Lékárna,
"Kostelní 41, Brušperk 73944",,-476036.4825000018,n,,,Lékárna U Matky Boží,-1116309.7186999992,Lékárna U Matky Boží,
"Kostelní 791, Hať 74716",,-472731.2628000006,n,,,,-1088923.8355999999,Lékárna Hať,
"Kostelní 96, Ostrava - Moravská Ostrava 70200",Agel,-469673.05319999903,n,,,,-1101545.3574,LÉKÁRNA AGEL,
"Kostická 30, Lanžhot 69151",,-577311.4946999997,n,,Lékárna,Lékárna LANŽHOT,-1215463.7791999988,LÉKÁRNA LANŽHOT,
"Kostnická 899, Pardubice 53006",,-650885.8643000014,n,,,Lékárna,-1061640.2036999986,Ve Svítkově,
"Kotlářova 3199, Ostrava - Zábřeh 70030",,-475329.0335999988,n,,,,-1106326.9642000012,Lékárna GYNET,
"Kotojedská 546, Kroměříž 76701",,-539638.5727000013,n,,,,-1155634.055300001,Lékárna Medica,
"Kotíkova 1817, Nová Paka 50901",BENU,-659310.0141999982,y,,"Lékárna Rokytka, ZEA, s.r.o.","EUROPHARM a.s., Lékárna Rokytka",-1008300.8244000003,BENU Lékárna,EUROPHARM
"Kotíkova 288, Nová Paka 50924",,-659407.305399999,n,,,,-1008219.8449000008,Lékárna Alena Mydlářová s.r.o.,
"Kotíkovská 927, Plzeň 32300",,-823407.5364999995,n,,,,-1067590.2652999982,Lékárna PRIVAMED,
"Kotěrova 5546, Zlín 76001",,-522031.4851000011,n,,,,-1165643.1556000002,Lékárna Ormiga,
"Kounicova 26, Brno 60200",,-598821.2514999993,n,,,"TECO s.r.o., Lékárna U HIPPOKRATA ",-1159435.9651999995,U Hippokrata,
"Kounicova 966, Brno 60200",,-599045.9001000002,n,,,,-1159002.1094000004,NAŠE LÉKÁRNA,
"Kout 26, Senice na Hané 78345",,-558935.9338000007,n,,,Fremlova Apotheca s.r.o. - OOVL,-1116981.6966999993,OOVL - L FREMLOVA APOTHECA s.r.o.,
"Kout 562, Borohrádek 51724",,-624087.7923000008,n,,Lékárna,"LBORO s.r.o., Lékárna",-1056837.1019000001,Borohrádek,
"Kováků 1083, Praha 15000",,-744563.9992000014,n,,,,-1044868.0007000007,Nad Knížecí,
"Kovářská 237, Znojmo 66902",,-642785.6011999995,n,,,,-1193627.4045000002,"Nová lékárna, s.r.o.",
"Kovářská 653, Svatobořice-Mistřín 69604",,-566156.5916999988,n,,,"SWISSPHARMA, s.r.o., Lékárna U nemocnice - OOVL",-1189038.0971000008,OOVL - L U Nemocnice,
"Kozinova 292, Domažlice 34422",,-861227.1799999997,n,,,,-1098502.3438999988,Nemocniční lékárna,
"Kozlovice 500, Kozlovice 73947",,-474643.5800999999,n,,,,-1128172.5333999991,Lékárna Kozlovice,
"Kozí 206, Havlíčkův Brod 58001",,-667113.9664999992,n,,,Lékárna U Karla,-1106509.1444000006,U Karla,
"Košetice 253, Košetice 39422",,-700749.5854999982,n,,,,-1108178.2945999987,OOVL - L U Slovanské lípy,
"Koželužská 292, Třebíč 67401",,-652459.5318000019,n,,,Lékárna Borovina,-1153349.8856999986,Lékárna Borovina,
"Kpt. Jaroše 2000, Tábor 39003",,-736240.1447999999,n,,,"Nemocnice Tábor, a.s., Ústavní lékárna",-1119056.5593000017,Nemocniční lékárna,
"Kpt. Jaroše 318, Karlovy Vary 36006",,-852667.5152000003,n,,,,-1010902.4021999985,Lékárna ve Dvorech,
"Kpt. Jaroše 375, Karlovy Vary 36001",Dr.Max,-852268.065200001,n,,,,-1011412.1270999983,Dr.Max LÉKÁRNA,
"Kpt.Jaroše 2876, Tábor 39003",,-736309.3988999985,n,,,,-1118891.268100001,LÉKÁRNA U NEMOCNICE,
"Krajina 257, Kvasice 76821",,-535076.682599999,n,,Lékárna Jana,Lékárna,-1162391.4197000004,Lékárna,
"Krakonošovo nám. 71, Trutnov 54101",,-630785.8949000016,n,,Lékárna U anděla strážce,,-1004170.7663000003,Lékárna U Anděla strážce s.r.o.,
"Kratochvílova 13, Přerov 75002",,-534367.7017999999,n,,Lékárna U kostela,Lékárna U Kostela,-1138423.427000001,Lékárna U Kostela,
"Krausova 459, Velké Poříčí 54932",,-612964.3242000006,n,,,,-1017174.7646999992,OOVL - L Hronov,
"Kravařova 191, Prostějov 79601",,-558753.4332999997,n,,,,-1133848.4684999995,Lékárna U radnice,
"Krkonošská 20, Vrchlabí 54301",Dr.Max,-651115.4935999997,n,,,,-994462.191300001,Dr.Max LÉKÁRNA,
"Krkonošská 227, Tanvald 46841",,-670736.6768000014,n,,,"S-CARE, s.r.o., Lékárna U Aesculapa",-979157.0758000016,U Aesculapa,
"Krkonošská 44, Vrchlabí 54301",Devětsil JST,-651097.6735000014,y,,Lékárna Devětsil,"9SIL, s.r.o., Lékárna Devětsil",-994762.4549999982,Devětsil,
"Krkonošská 630, Desná 46861",,-670199.0896999985,n,,,,-977547.6213000007,Lékárna Desná s.r.o.,
"Krkonošská 668, Tanvald 46841",,-671102.3942999989,n,,,,-979694.1636999995,Lékárna Jizerka,
"Krkonošská 8, Vrchlabí 54301",BENU,-651163.0040999986,y,,,"THEA, s.r.o., Lékárna ",-994333.1922999993,BENU Lékárna,
"Krmelínská 523, Ostrava - Nová Bělá 72400",,-473565.09209999815,n,,,,-1110210.6675999984,OOVL Nová Bělá,
"Krocínovská 3, Praha 16000",,-746056.9946000017,n,,,Lékárna Hanspaulka,-1040723.003800001,Lékárna Hanspaulka,
"Krumlovská 1103, Prachatice 38301",BENU,-789661.2476000004,n,,,,-1157501.7958000004,BENU Lékárna,
"Krušnohorská 3371, Ústí n. Labem 40011",Dr.Max,-760840.4965000004,n,,,,-974151.178199999,Dr.Max LÉKÁRNA,
"Krušnohorská 39, Chlumec 40339",,-767133.1070999987,n,,,,-970952.2413999997,OOVL - L 002 Praha,
"Krušnohorská 41, Dubí 41703",,-777824.7580000013,n,,,,-971836.6112999991,Lékárna Alba,
"Krále Jana 304, Chotěboř 58301",,-659093.0011,n,,Zelená lékárna,Zelená lékárna,-1095186.8768000007,Zelená lékárna,
"Královopolská 48, Brno 61600",,-600632.2014000006,n,,Lékárna,Lékárna Eva,-1158213.7369000018,Lékárna Eva,
"Královéhradecká 418, Klášterec nad Ohří 43151",,-825351.4853000008,n,,"AD VITAM, s.r.o.,Lékárna Za potokem","SINDAPHARM,s.r.o., Lékárna Za Potokem",-997265.4406999983,Za Potokem,
"Krásná Hora nad Vltavou 28, Krásná Hora nad Vltavou 26256",,-763755.6944999993,n,,,,-1093625.7369000018,Lékárna Krásná Hora nad Vltavou,
"Krásného 20, Brno 63600",,-594901.560899999,n,,Lékárna,"DEPHARM s.r.o., Lékárna",-1161566.1264000013,Lékárna Juliánov,
"Krátká 1008, Valašské Klobouky 76601",Dr.Max,-496800.5258000009,y,,Lékárna,Lékárna,-1176508.6490999982,Dr.Max LÉKÁRNA,
"Krátká 2, Šumperk 78701",,-562770.6939999983,n,,,,-1078345.8955000006,Lékárna AVE s.r.o.,
"Krátká 554, Vimperk 38501",,-804836.4653999992,n,,Lékárna,Lékárna Soldanella,-1150177.9351000004,Pilulka Lékárna,
"Krčská 1079, Praha 14000",Dr.Max,-742048.9963000007,y,,Krčská lékárna,,-1048189.0025000013,Dr.Max LÉKÁRNA,
"Krškova 807, Praha 15000",BENU,-746916.4164999984,n,,,,-1048542.6678999998,BENU Lékárna,
"Kubelíkova 1250, Praha 13000",,-741004.9985000007,n,,,,-1043900.0056000017,Na Žižkově,
"Kubánské nám. 1271, Praha 10000",Dr.Max,-739029.4439999983,n,,,,-1045310.0474999994,Dr.Max LÉKÁRNA,
"Kubíčkova 6, Brno 63500",Dr.Max,-604334.9846000001,y,,Lékárna Akát,Lékárna Akát,-1157207.7756000012,Dr.Max LÉKÁRNA,
"Kudrnova 22, Praha 15000",,-748501.9974000007,n,,,Lékárna Pod Motolskou nemocnicí,-1043943.0053000003,Pod Motolskou nemocnicí,
"Kudrnáčova 280, Hronov 54931",,-612845.6447999999,n,,Lékárna Lékárna u Vojtěcha,Lékárna u Vojtěcha,-1015516.4428999983,Hronovská lékárna,
"Kulturní 1794, Rožnov pod Radhoštěm 75661",,-484648.0254999995,n,,,,-1141696.4543000013,Lékárna Láz,
"Kutnohorská 226, Hradec Králové 50004",,-644854.8310999982,n,,,"SIJA, s.r.o., Lékárna OC Hypernova",-1043075.3055999987,OC Hypernova,
"Kvasická 872, Tlumačov 76362",,-533266.8839999996,n,,,,-1160849.0872000009,Lékárna Tlumačov,
"Kvasinská 129, Solnice 51701",,-612174.4244999997,n,,Lékárna AMBRA,Lékárna Ambra,-1046281.4045999981,Lékárna AMBRA,
"Květnové náměstí 7, Průhonice 25243",,-734160.1957999989,n,,,,-1053842.5947000012,OOVL - L Jarov Pharmedol,
"Kyjevská 44, Pardubice 53203",,-646431.5370000005,n,,Ústavní lékárna,"Krajská nemocnice Pardubice, Ústavní lékárna",-1061807.8165999986,Multiscan Pharma s.r.o.,
"Kytlická 779, Praha 19000",,-736255.2866000012,y,,,"Lékárny Lloyds s.r.o., Lékárna PLUS",-1039601.6816999987,Lékárna Kytlická,Lékárny Lloyds
"Křenova 438, Praha 16200",,-748277.995000001,n,,,,-1042097.0025999993,Lékárna Hvězda Petřiny,
"Křenová 71, IFM Centrum, Brno 60200",,-598725.5324000008,n,,,,-1159835.2177999988,Lékárna U Zderada,
"Křinické náměstí 12, Krásná Lípa 40746",,-724236.2784999982,n,,,Lékárna Krásná Lípa,-952749.7835000008,Lékárna Krásná Lípa,
"Křivánkovo nám. 16, Brno - Žebětín 64100",,-606788.4461999983,n,,,,-1158493.6136999987,OOVL - L Biovita,
"Křižíkova 164, Praha 18600",,-740968.1365999989,n,,"STAIN, s.r.o.",,-1042834.693,KARLÍNSKÁ LÉKÁRNA,
"Křižíkova 56, Praha 18000",,-740373.8830000013,n,,,,-1042742.3728,U Zlatého slunce,
"Křížová 19, Děčín 40502",,-746844.5742000006,n,,,,-964716.6939000003,Zámecká lékárna,
"Křížová 6, Brno 60300",,-599242.684799999,n,,Lékárna U lva,Lékárna U lva,-1161284.634399999,Lékárna U Lva,
"Langrova 11, Lázně Bohdaneč 53341",,-653453.9222999997,n,,,Lékárna,-1055686.3126000017,Lékárna,
"Langrova 23, Šumperk 78701",,-563104.001699999,n,,,,-1078175.999499999,Lékárna Palác Schönberg,
"Lannova tř. 43, České Budějovice 37001",,-755057.4083000012,n,,,,-1166239.4244999997,Lékárna Lannova tř. s.r.o.,
"Lannova tř. 50, České Budějovice 37001",BENU,-755258.0755000003,n,,,,-1166237.3453000002,BENU Lékárna,
"Lazaretní 7, Brno 61500",,-596396.700100001,n,,,Lékárna Poliklinika Zbrojovka,-1160009.5742999986,Lékárna Bellis,
"Lechowiczova 2970, Ostrava - Moravská Ostrava 70200",,-471811.3280999996,n,,,,-1100872.9056999981,Arnika,
"Legerova 21, Kolín 28000",,-688430.2127999999,n,,,,-1057131.0971999988,Lékárna AQUA,
"Legionářská 33, Česká Skalice 55203",,-623556.5956000015,n,,,,-1023612.3420000002,Nová lékárna,
"Legií 1851, Chotěboř 58301",,-659041.7844999991,n,,,,-1095383.6557999998,Zdravá lékárna,
"Legií 1954, Varnsdorf 40747",,-716271.6396999992,n,,Lékárna,Lékárna,-954080.7533,Lékárna Varnsdorf,
"Legií 765, Nová Paka 50901",,-659340.5502999984,y,Červený bod,"Lékárna Gaia, Červený bod, s.r.o.",Lékárna TABLETKA s.r.o.,-1008783.7646999992,Lékárna Na Poliklinice,
"Leonovova 2015, Karviná - Hranice 73301",Dr.Max,-450912.3277999982,n,,,,-1100118.0890000015,Dr.Max LÉKÁRNA,
"Letecká 302, Libčice n.Vltavou 25266",,-744899.1495999992,n,,,,-1030494.3542999998,Mgr. Eva Pomahačová,
"Letenská 1183, Rožnov pod Radhoštěm 75661",,-484137.08040000126,n,,Lékárna RUBUS,Lékárna RUBUS,-1141888.5168000013,Lékárna Rubus,
"Letkovská 1, Oslavany 66412",,-618672.8158,n,,"A.T.G. centrum, s.r.o.",A.T.G. Centrum s.r.o. Lékárna,-1166846.3773000017,Lékárna Oslavany,
"Leštinská 2336, Zábřeh na Moravě 78901",Dr.Max,-570075.6468999982,n,,,,-1087585.2881000005,Dr.Max LÉKÁRNA,
"Lhotecká 2d, Praha 14000",Dr.Max,-743254.9222000018,n,,,,-1051025.7496999986,Dr.Max LÉKÁRNA,
"Lhotská 2071, Praha 19300",,-729653.9393000007,n,,,"ARNICA s.r.o., Lékárna Horní Počernice",-1042038.2501999997,Lékárna Horní Počernice,
"Liberecká 67, Nový Bor 47301",,-723177.9963999987,n,,,"PM PHARMA, s.r.o., Lékárna Na Radnici",-970193.0012000017,Na Radnici,
"Liberecká 801, Jablonec nad Nisou 46601",BENU,-681120.4693000019,n,,,,-979613.7030000016,BENU Lékárna,
"Libouchec 82, Libouchec 40335",,-759212.9620999992,n,,,,-965356.5375999995,Libouchec,
"Libušina 1379, Přelouč 53501",,-662255.7305000015,n,,,,-1059298.4624000005,Lékárna EUROCLINICUM Přeloučská poliklinika a.s.,
